name,reviewrate,reviewdate,reviewtext
Doctor Strange in the Multiverse of Madness,8/10,29 November 2023,Sam Raimi goes full Sam Raimi in this highly mad ride.
Saw,8/10,3 January 2024,Interested
Saw,10/10,27 December 2023,A Gripping Descent into Psychological Terror
Saw,8/10,16 November 2023,The Film that started another Horror franchise
Saw,7/10,9 November 2023,Intriguing start to a great series of films
Saw,8/10,2 November 2023,Incredible
Saw,9/10,1 November 2023,Cut it off already!
Saw,7/10,31 October 2023,Good thriller
Saw,9/10,31 October 2023,If not for Cary Elwes terrible acting this was a 10
Saw,10/10,30 October 2023,Perfection.
Saw,6/10,29 October 2023,"6.2/10 - Not Bad, but Really Amateurish and Rough Around the Edges"
The Thing,8/10,31 December 2023,"A Great FX and Monster Movie, Oversold By Its Fans"
The Thing,9/10,27 December 2023,The Thing
The Thing,9/10,23 December 2023,A John Carpenter masterpiece.
The Thing,7/10,20 December 2023,Trust no one
The Thing,9/10,19 December 2023,"Effectively Creepy and Intense, Carpenter's Antarctic Alien Attack was Unappreciated in its Day"
The Thing,5/10,14 December 2023,The story is lost in excess gore
The Thing,9/10,27 November 2023,SUSPENSE... Nothing But Pure Horror & Suspense!
The Thing,10/10,14 November 2023,I knew from the beginning that I watched watching something very special
The Thing,8/10,14 November 2023,A classic for a reason
The Thing,9/10,6 November 2023,Amazing
The Exorcist,6/10,28 December 2023,First time watching in 2023
The Exorcist,8/10,27 December 2023,A beautifully made well directed well acted ugly movie
The Exorcist,9/10,27 December 2023,Horror at it's absolute peak.
The Exorcist,9/10,27 December 2023,Happy 50th
The Exorcist,1/10,19 December 2023,"You're joking, right?"
The Exorcist,xxxxxdarkmoon,26 November 2023,Not my cup of tea
The Exorcist,9/10,24 November 2023,Not Just A Scary Movie.
The Exorcist,6/10,24 November 2023,The Exhibitionist
The Exorcist,10/10,20 November 2023,You´re the devil
The Exorcist,1/10,18 November 2023,Awful mess of a film
Predator,9/10,26 December 2023,Arnold 1 def. extra terrestrial hunter 0
Predator,7/10,25 December 2023,Fun action movie
Predator,7/10,19 December 2023,It's fine?
Predator,10/10,2 December 2023,One of my all-time favorite movies
Predator,10/10,14 November 2023,Get to the chopaaaaahhh!!!
Predator,10/10,8 November 2023,"If it bleeds, we can kill it!"
Predator,8/10,1 November 2023,A Whole New Level
Predator,2/10,23 October 2023,An idiot's eden
Predator,10/10,18 October 2023,The Greatest Action Film Ever Made
Predator,4/10,27 September 2023,When mere explosions were enough to hold your attention
The Cabin in the Woods,6/10,22 December 2023,The last 30 minutes are worth experiencing
The Cabin in the Woods,9/10,5 December 2023,"The Cabin in the Woods (2011, Drew Goddard) Brilliant horror comedic mashup that does something completely different and original"
The Cabin in the Woods,6/10,22 November 2023,Update/upgrade. 5 to 6.
The Cabin in the Woods,6/10,19 November 2023,The Watcher of the Woods
The Cabin in the Woods,9/10,15 November 2023,Must see for horror fans
The Cabin in the Woods,6/10,7 November 2023,Metalanguage in Horror Cinema
The Cabin in the Woods,8/10,4 November 2023,Impresive
The Cabin in the Woods,7/10,25 October 2023,Fun film.
The Cabin in the Woods,8/10,25 October 2023,Great Movie
The Cabin in the Woods,3/10,22 October 2023,"About as scary as an average Scooby-Doo episode, but less funny"
28 Days Later,6/10,31 December 2023,28 Days Later ... Review
28 Days Later,9/10,11 December 2023,Watch while being chased by rage-infected zombies
28 Days Later,8/10,4 December 2023,Unveiling Post-Apocalyptic Terror: A Genre-defining Journey
28 Days Later,10/10,28 November 2023,London Mauling
28 Days Later,8/10,1 November 2023,Brilliant Film Innit
28 Days Later,9/10,1 November 2023,One of the best in the Zombie-genre!
28 Days Later,10/10,15 October 2023,The Best Zombie Movie that many don't consider a zombie movie
28 Days Later,6/10,16 September 2023,Good and exiciting story!
28 Days Later,9/10,8 September 2023,One of the best Zombie movies out there
28 Days Later,10/10,27 August 2023,This deserves more than 7.5 stars
Whiplash,8/10,26 December 2023,The truth lies somewhere in between
Whiplash,8/10,22 December 2023,Crazy !
Whiplash,8/10,21 December 2023,What should be the path of a man to become great?
Whiplash,9/10,19 December 2023,Motivation
Whiplash,6/10,19 December 2023,A good way to get killed...
Whiplash,9/10,15 December 2023,Filled with intense and great emotion
Whiplash,9/10,4 December 2023,Follow perfection. Success follows you
Whiplash,10/10,2 December 2023,MODERN DAY MUSICAL MASTERPIECE
Whiplash,9/10,29 November 2023,AH
Whiplash,9/10,27 November 2023,it's immersive and very beautiful
La La Land,9/10,2 January 2024,The Tragedy of Life
La La Land,2/10,2 January 2024,I went and cleaned my bathroom I got so bored
La La Land,10/10,1 January 2024,Best film I've ever seen
La La Land,10/10,30 December 2023,MásterPiece
La La Land,4/10,29 December 2023,12.29.2023
La La Land,9/10,29 December 2023,Woah
La La Land,10/10,28 December 2023,Rewatched in live concert with Justin Hurwitz
La La Land,8/10,23 December 2023,A film to watch as a young adult
La La Land,9/10,17 December 2023,"I dont like singing in movies, but wow this was so good!"
La La Land,9/10,15 December 2023,It was alright but then it hit me HARD
Baby Driver,1/10,1 January 2024,Stupid movie
Baby Driver,1/10,24 December 2023,I dont get it.
Baby Driver,10/10,20 December 2023,One of the best of the 2010s
Baby Driver,7/10,13 December 2023,A Fun But Slightly Shallow Romp
Baby Driver,8/10,5 December 2023,Synchronisation of music and movements
Baby Driver,10/10,11 November 2023,Impeccable Cinematography
Baby Driver,8/10,27 October 2023,Original action movie / (musical!)
Baby Driver,8/10,1 October 2023,"Not a Wasted Frame, Not a Wasted Letter"
Baby Driver,6/10,30 September 2023,Attempt at something original but doesn't work
Baby Driver,7/10,15 September 2023,Crazy Action Flick
Amadeus,7/10,27 December 2023,characters act to the music love it.
Amadeus,10/10,23 December 2023,Brilliant masterpiece for the ages
Amadeus,9/10,20 December 2023,A superb movie
Amadeus,8/10,17 December 2023,Quite an achievement.
Amadeus,10/10,22 November 2023,Perfect
Amadeus,8/10,13 November 2023,👍🏻
Amadeus,3/10,11 November 2023,Sour Notes and Poisoned Chords: The Salieri-Mozart Rivalry
Amadeus,10/10,31 October 2023,"Only pity, the Academy did not give Oscars to both lead actors"
Amadeus,10/10,25 October 2023,Possibly one of cinemas greatest films.
Amadeus,10/10,23 October 2023,Mozartpiece!
A Star Is Born,8/10,28 December 2023,Gaga shines!!!
A Star Is Born,2/10,25 December 2023,Not very good
A Star Is Born,6/10,24 December 2023,Fine but not wonderful
A Star Is Born,10/10,19 December 2023,"A Star is Born contains some of the year's best acting, Bradley Cooper exceeded our expectations with his multi-job and direction, a masterpiece"
A Star Is Born,1/10,17 December 2023,Stars are gone
A Star Is Born,8/10,1 December 2023,Lady Gaga's performance was LEGENDARY
A Star Is Born,1/10,16 October 2023,Very Manipulative in Trying Times
A Star Is Born,1/10,4 October 2023,another one of these movies..
A Star Is Born,8/10,23 September 2023,Tell me something...
A Star Is Born,10/10,20 September 2023,Powerful
Soul,7/10,30 December 2023,Not enough jazz
Soul,9/10,24 December 2023,Simple but enlightening
Soul,9/10,19 December 2023,AMAZING but mostly for adults
Soul,7/10,7 December 2023,Soul
Soul,7/10,28 November 2023,Not Pixar's best but well done
Soul,10/10,7 November 2023,Soul spark
Soul,7/10,6 November 2023,A Really Moving Disney Animated Film
Soul,8/10,1 November 2023,I'm a seed wondering why I'm grown...
Soul,9/10,28 October 2023,Good Film
Soul,1/10,26 October 2023,overrated
"O Brother, Where Art Thou?",9/10,30 September 2023,Excellent Movie
"O Brother, Where Art Thou?",10/10,10 September 2023,Most quotable movie ever...
"O Brother, Where Art Thou?",8/10,8 September 2023,Three Convicts in Search of a Treasure
"O Brother, Where Art Thou?",10/10,3 September 2023,"""You guys are dumber than a bag of hammers."""
"O Brother, Where Art Thou?",9/10,15 August 2023,Funky bluegrass accompanies this wild ride
"O Brother, Where Art Thou?",6/10,7 August 2023,The soundtrack is the star of the show
"O Brother, Where Art Thou?",9/10,2 August 2023,"""The color guard is colored! Who made them the color guard?"""
"O Brother, Where Art Thou?",10/10,15 June 2023,A modern Odyssey about the American culture and folklore.
"O Brother, Where Art Thou?",7/10,14 June 2023,Hillbilly Odyssey
"O Brother, Where Art Thou?",10/10,11 May 2023,A movie of constant delight.
Pitch Perfect,8/10,3 January 2024,Aca-scuse me?
Pitch Perfect,7/10,18 December 2023,The pitch was alright
Pitch Perfect,10/10,5 December 2023,I absolutely love this movie might be odd since I generally hate musicals
Pitch Perfect,7/10,16 November 2023,Endings are the best part
Pitch Perfect,1/10,31 October 2023,So bad I created an account just to rate it
Pitch Perfect,6/10,15 September 2023,Nice
Pitch Perfect,10/10,29 August 2023,The perfect movie to rewatch over and over again
Pitch Perfect,10/10,4 August 2023,pitch perfect
Pitch Perfect,7/10,3 August 2023,love
Pitch Perfect,8/10,20 July 2023,A fun surprise
School of Rock,7/10,30 December 2023,School of Rock is a very cool and entertaining Rock n Roll film!
School of Rock,8/10,19 October 2023,Fun movie!!!
School of Rock,7/10,4 September 2023,Viewers Will ROCK After Watching This Film
School of Rock,9/10,26 August 2023,A timeless gem!
School of Rock,9/10,22 June 2023,"School of rock, rocks"
School of Rock,9/10,25 May 2023,"""Actually, it's ""Schnayblay."""
School of Rock,10/10,21 May 2023,Superb film everyone should see...you will smile
School of Rock,9/10,10 April 2023,CHEER! - (9 stars out of 10)
School of Rock,10/10,8 March 2023,This Movie Will Change Your Life
School of Rock,8/10,9 January 2023,"Those who can't do, teach"
8 Mile,9/10,27 December 2023,Truly the best hip hop movie ever.
8 Mile,7/10,22 November 2023,Really solid film
8 Mile,8/10,9 November 2023,313
8 Mile,8/10,9 November 2023,Eminem vs. Detriot
8 Mile,10/10,5 September 2023,Eminem Hits a Homerun
8 Mile,6/10,3 September 2023,Love the song pass on the movie
8 Mile,8/10,27 August 2023,Inspirational and well-crafted.
8 Mile,8/10,6 August 2023,A truthful semi-autobiographical account built upon a recognizable movie formula
8 Mile,8/10,24 July 2023,Rap legend
8 Mile,5/10,13 July 2023,Just watch the rap battles on youtube
Almost Famous,10/10,29 December 2023,A perfect love letter...
Almost Famous,10/10,9 December 2023,Something to Crowe About
Almost Famous,7/10,26 October 2023,Something of an autobiography by Cameron Crowe
Almost Famous,9/10,30 September 2023,"Well, you had to be there!"
Almost Famous,10/10,25 August 2023,"""Why doesn't he love me...?"""
Almost Famous,10/10,22 August 2023,An epic love story to 1970's rock and roll music and journalism.
Almost Famous,1/10,18 July 2023,Hanging out w narcissists the movie
Almost Famous,1/10,16 July 2023,Mostly terrible
Almost Famous,10/10,11 July 2023,Best ever
Almost Famous,10/10,3 July 2023,The kind of film that sticks with you for life
Some Like It Hot,10/10,14 December 2023,"Well, nobody's perfect! Perhaps Some Like It Hot is!?"
Some Like It Hot,9/10,10 December 2023,"The true definition of the word ""classic"""
Some Like It Hot,8/10,9 November 2023,"Well, nobody's perfect!"
Some Like It Hot,6/10,29 October 2023,I liked how the movie ended
Some Like It Hot,10/10,7 September 2023,Some Like it Hot
Some Like It Hot,10/10,3 September 2023,"Jerry: ""I'm engaged!"" Joe: ""Congratulations, who's the lucky girl?"" Jerry: ""I am!"""
Some Like It Hot,9/10,31 August 2023,And Now for Something Completely Hot
Some Like It Hot,10/10,26 July 2023,Some like it hot (1959) was just so smooth
Some Like It Hot,6/10,10 May 2023,Dragged a bit
Some Like It Hot,8/10,5 May 2023,Surprisingly fun
Walk the Line,8/10,16 December 2023,"AN INVITATION TO TAKE A WALK TO A ¨DIFFERENT"" COUNTRY!"
Walk the Line,10/10,5 December 2023,I will walk all the lines
Walk the Line,6/10,15 September 2023,Very well made - but dragged on too much for me
Walk the Line,2/10,13 September 2023,Cashless
Walk the Line,5/10,3 September 2023,Portrait of survivor's guilt and addiction
Walk the Line,10/10,2 September 2023,Top of the line movie with walk the line.
Walk the Line,6/10,24 August 2023,Walk the Line
Walk the Line,7/10,19 August 2023,It's not you. It's me.
Walk the Line,7/10,16 June 2023,Story with Wonderful Performances
Walk the Line,7/10,11 April 2023,The rise of Johnny Cash
Dirty Dancing,8/10,3 January 2024,"No CGI, Just Great Talent"
Dirty Dancing,10/10,29 December 2023,Movie of the season that will definitely bring you into a romantic mood ready for love!
Dirty Dancing,9/10,27 December 2023,Heartbeats of great emotions!
Dirty Dancing,3/10,24 December 2023,Not a fan
Dirty Dancing,5/10,16 October 2023,Not as great as many think it is
Dirty Dancing,7/10,24 September 2023,Good Energy Despite Formulaic Screenplay
Dirty Dancing,8/10,12 August 2023,"A classic dance movie... and also, a good one"
Dirty Dancing,9/10,3 August 2023,One of the Best Love Stories and More
Dirty Dancing,9/10,2 August 2023,Iconic movie with awesome soundtrack and electrifying chemistry
Dirty Dancing,7/10,6 July 2023,The time of my life
Rio,10/10,19 December 2023,I LOVE THIS MOVIE
Rio,1/10,12 December 2023,This movie does NOT take flight
Rio,10/10,29 November 2023,"Childhood, Cute, & Best Blue Sky Movie IMO."
Rio,10/10,9 November 2023,Plane it on Rio
Rio,7/10,12 October 2023,Culture and Flight Film
Rio,9/10,26 September 2023,"""RIO"" REVIEW"
Rio,8/10,23 September 2023,Better than I expected
Rio,6/10,31 August 2023,Good
Rio,10/10,13 August 2023,Why isn't this a 10?
Rio,10/10,27 July 2023,Best Villain of Blue Sky
Tarzan,9/10,9 November 2023,Top tier Disney adaptation....
Tarzan,10/10,24 September 2023,10/10
Tarzan,7/10,10 September 2023,"Without some glaring issues, this movie could have been perfect"
Tarzan,8/10,8 September 2023,Ending with a Bang
Tarzan,5/10,1 September 2023,Blinded by nostalgia
Tarzan,7/10,1 September 2023,The First Disney Film That I Ever Watched
Tarzan,7/10,30 August 2023,Pretty good movie
Tarzan,7/10,28 August 2023,Tarzan
Tarzan,4/10,20 July 2023,DISNEY AT ITS BEST
Tarzan,2/10,27 May 2023,It took 1 minute & 34 seconds to start disappointing me.
Charlie and the Chocolate Factory,2/10,3 January 2024,Killing a Wonka legacy
Charlie and the Chocolate Factory,2/10,1 January 2024,Only great if you saw this as a child
Charlie and the Chocolate Factory,8/10,1 January 2024,Ignore the negative reviews
Charlie and the Chocolate Factory,6/10,30 December 2023,30. december 2023
Charlie and the Chocolate Factory,8/10,30 December 2023,Good!
Charlie and the Chocolate Factory,8/10,30 December 2023,"If you love chocolate, then you should definitely watch that movie!"
Charlie and the Chocolate Factory,6/10,29 December 2023,Is this sweeter than the original
Charlie and the Chocolate Factory,7/10,29 December 2023,this is good but the original is better
Charlie and the Chocolate Factory,8/10,27 December 2023,Unique Remake of a Classic
Charlie and the Chocolate Factory,6/10,27 December 2023,A Whimsical and Delicious Adventure
Tangled,8/10,29 December 2023,The magic of Disney's animated classics
Tangled,10/10,18 December 2023,I loved this Movie!
Tangled,7/10,1 December 2023,Really fun Disney film
Tangled,2/10,27 November 2023,"Not a timeless piece, but a piece of something"
Tangled,10/10,23 November 2023,The best movie i ever saw it was truley magical and nostalgic
Tangled,10/10,20 November 2023,Classic Quality Disney
Tangled,10/10,22 September 2023,Loved it. Best disney animated film
Tangled,10/10,19 September 2023,Timeless and breathtaking
Tangled,10/10,5 September 2023,13 years later and still perfect
Tangled,9/10,1 September 2023,My Favourite Ancient Fairy Tale
Beauty and the Beast,10/10,21 October 2023,Disney Magic At It's Finest
Beauty and the Beast,7/10,25 September 2023,B&B
Beauty and the Beast,6/10,7 September 2023,Beautifully animated but not my cup of tea...
Beauty and the Beast,8/10,26 August 2023,Beauty and the Beast
Beauty and the Beast,10/10,23 August 2023,Now this is my favorite Disney film of all time when I was a kid.
Beauty and the Beast,10/10,22 July 2023,My favorite Disney flick as a kid
Beauty and the Beast,10/10,19 July 2023,Best Animated Film of All-Time
Beauty and the Beast,9/10,6 July 2023,Disney Princesses = shoujo Classics?
Beauty and the Beast,10/10,1 June 2023,"Stunning animation, memorable music, well-developed characters"
Beauty and the Beast,10/10,28 May 2023,A true masterpiece
Aladdin,9/10,1 December 2023,one of the best cartoons of disney
Aladdin,10/10,12 November 2023,"Disney's greatest villain? (Well, one of the main contenders.)"
Aladdin,10/10,29 October 2023,My abolute favourite Disney movie - in Danish
Aladdin,7/10,28 September 2023,Splendid Disney Film To Watch
Aladdin,9/10,20 September 2023,Good
Aladdin,8/10,18 September 2023,I'm so late
Aladdin,10/10,7 September 2023,Superbly entertaining Disney classic.
Aladdin,10/10,14 August 2023,10/10
Aladdin,8/10,19 July 2023,You will never have a movie like this
Aladdin,10/10,15 July 2023,Stay true to yourself!
The Wizard of Oz,10/10,1 January 2024,There's no place like home
The Wizard of Oz,10/10,30 December 2023,The Wizard of Oz
The Wizard of Oz,10/10,28 December 2023,10/10
The Wizard of Oz,9/10,30 November 2023,Still captures the attention of viewers today with its cinematic magic
The Wizard of Oz,8/10,21 November 2023,Over The Rainbow
The Wizard of Oz,10/10,31 October 2023,Game changer for technicolor
The Wizard of Oz,9/10,29 September 2023,The Wizard of Oz
The Wizard of Oz,10/10,24 September 2023,10/10
The Wizard of Oz,10/10,5 September 2023,WHAT ELSE CAN YOU SAY... BUT I HAVE TO SAY SOMETHING
The Wizard of Oz,8/10,4 September 2023,MAGICAL!!
Sweeney Todd: The Demon Barber of Fleet Street,7/10,13 November 2023,The sombrest of massacres
Sweeney Todd: The Demon Barber of Fleet Street,6/10,12 November 2023,This isn't Edward scissorhands???
Sweeney Todd: The Demon Barber of Fleet Street,7/10,6 October 2023,If Disney were Emo
Sweeney Todd: The Demon Barber of Fleet Street,9/10,18 August 2023,A musical that is not for kids.
Sweeney Todd: The Demon Barber of Fleet Street,10/10,12 August 2023,"The Closest Shave, Guaranteed!"
Sweeney Todd: The Demon Barber of Fleet Street,7/10,1 August 2023,The thing about musicals...
Sweeney Todd: The Demon Barber of Fleet Street,7/10,27 July 2023,Very good when you don't compare it to the stage musical
Sweeney Todd: The Demon Barber of Fleet Street,7/10,26 July 2023,Bloody fun
Sweeney Todd: The Demon Barber of Fleet Street,10/10,4 July 2023,Blood Begets blood or The Magnificent Tim Burton: Part Six
Sweeney Todd: The Demon Barber of Fleet Street,8/10,4 April 2023,Best of the Worst
The Nightmare Before Christmas,7/10,31 December 2023,"A Halloween-loving dude knows about Christmas for the first time, but it's a Tim Burton movie"
The Nightmare Before Christmas,8/10,22 December 2023,Festive Fright Night...
The Nightmare Before Christmas,6/10,20 December 2023,Except for it's technical merits. This is hardly a kids movie.
The Nightmare Before Christmas,10/10,19 December 2023,Tim Burton's best movie ever
The Nightmare Before Christmas,7/10,11 December 2023,Christmas Evel
The Nightmare Before Christmas,5/10,9 December 2023,Just don't get the Christmas Feeling!
The Nightmare Before Christmas,5/10,18 November 2023,The Nightmare Before Christmas
The Nightmare Before Christmas,10/10,6 November 2023,Gothic stop-motion masterpiece: an essential holiday film
The Nightmare Before Christmas,8/10,31 October 2023,Easily one of the best Halloween movies
The Nightmare Before Christmas,7/10,31 October 2023,Unique
Moana,7/10,3 January 2024,A lovely film!
Moana,7/10,27 December 2023,A Solid Adventure with a Few Tides
Moana,8/10,17 December 2023,Disneys last classic...
Moana,8/10,19 November 2023,Loved it
Moana,10/10,5 November 2023,Do you know who you are?
Moana,10/10,22 October 2023,Perfection
Moana,8/10,13 October 2023,The ocean is calling
Moana,8/10,26 September 2023,Moana's Marvelous Adventure!
Moana,9/10,6 September 2023,Moana: A Glimpse of the Disney We Once Loved
Moana,7/10,28 August 2023,A great disney movie that I could watch again and again.
Les Misérables,7/10,30 December 2023,Story: Amazing. Musical Adaptation: Mid.
Les Misérables,10/10,21 December 2023,Amazing
Les Misérables,10/10,9 December 2023,Masterpiece
Les Misérables,10/10,25 November 2023,Common French people L
Les Misérables,9/10,22 October 2023,The music touches my soul.
Les Misérables,9/10,20 October 2023,Captures the novel and tone beautifully
Les Misérables,8/10,30 September 2023,Amazing
Les Misérables,7/10,4 September 2023,An Ambitious Adaptation: A Double-Edged Sword in Balancing Emotion and Execution
Les Misérables,10/10,29 August 2023,Castle on a Cloud
Les Misérables,10/10,10 August 2023,"Justice, love, sacrifice, and revolution"
Mulan,9/10,18 December 2023,Exciting and successful film
Mulan,10/10,13 December 2023,Disney Gold!
Mulan,9/10,1 December 2023,The best cartoon of disney
Mulan,10/10,11 November 2023,A timeless masterpiece
Mulan,3/10,3 November 2023,The weaker Renaissance film.
Mulan,10/10,29 September 2023,A brilliant story that you can't get enough of even if you watch it several times.
Mulan,9/10,9 September 2023,A refreshing Disney heroine...
Mulan,9/10,30 August 2023,Five Chill-Inducing Moments
Mulan,9/10,28 August 2023,One of the best Disney movies of the time period
Mulan,7/10,26 July 2023,A Disney classic...
The Greatest Showman,7/10,2 January 2024,"Give It To Me Now, This is the Greatest Show!"
The Greatest Showman,5/10,28 December 2023,Writing a great show-tune is hard.
The Greatest Showman,10/10,26 December 2023,This movie is a 10 out of 10. Coming from a guy that doesn't like musicals.
The Greatest Showman,10/10,12 December 2023,One of my favorite movies
The Greatest Showman,10/10,25 November 2023,It's magical! It's amazing!!!
The Greatest Showman,10/10,18 November 2023,10/10
The Greatest Showman,8/10,29 October 2023,Honestly a guilty pleasure of mine
The Greatest Showman,10/10,15 October 2023,IMb d is a joke!
The Greatest Showman,8/10,8 October 2023,"Fought against seeing this movie, instantly regretted it after watching."
The Greatest Showman,7/10,28 September 2023,A beautiful and colorful film with impressive scenes and gorgeous musical numbers
Moulin Rouge!,9/10,31 December 2023,A masterpiece musical
Moulin Rouge!,9/10,5 October 2023,A Romantic musical Tragicomedy that is a visual and auditory spectacle
Moulin Rouge!,10/10,20 August 2023,Such a MASTERPIECE!
Moulin Rouge!,9/10,14 August 2023,Lovely Fever Dream
Moulin Rouge!,9/10,27 July 2023,The dazzling world of Moulin Rouge!!
Moulin Rouge!,10/10,11 July 2023,It's the best movie in the world
Moulin Rouge!,10/10,5 June 2023,The best movie
Moulin Rouge!,5/10,29 May 2023,Half a disjointed frenzied musical
Moulin Rouge!,9/10,14 April 2023,A masterpiece with a heavy impact
Moulin Rouge!,1/10,29 January 2023,"Less Talk, More Monkey"
Grease,10/10,30 November 2023,"""If you can't be an athlete, be an athletic supporter"""
Grease,10/10,21 October 2023,Grease is Great . Nuf said
Grease,4/10,10 October 2023,One word: What?
Grease,7/10,27 September 2023,"Grease is the word, 40 years on!"
Grease,7/10,21 September 2023,Grease is A Good Time
Grease,2/10,20 September 2023,Too Cheesy. Too Sweet.
Grease,10/10,11 August 2023,Too pure to be Pink
Grease,9/10,27 July 2023,Is there a better classic than this one?!?! Best musical ever!
Grease,8/10,26 July 2023,"The most tragic and heartbreaking film, I've ever seen."
Grease,10/10,14 June 2023,Why did I wait so long to watch this musical?!?!
Corpse Bride,9/10,26 December 2023,Similar to The Nightmare Before Christmas
Corpse Bride,7/10,23 December 2023,"Fun, interesting and made with care and attention"
Corpse Bride,9/10,1 November 2023,Another beautifully twisted Tim Burton love story
Corpse Bride,9/10,30 October 2023,A wonderful and wholesomely dark family film!
Corpse Bride,8/10,23 October 2023,Very very good one of the best kids movies out there
Corpse Bride,6/10,30 July 2023,Good
Corpse Bride,5/10,17 July 2023,Good for Die Hard Burton Fans
Corpse Bride,8/10,16 July 2023,"""Can a heart still break once it's stopped beating?"""
Corpse Bride,10/10,29 June 2023,The Love that united the Worlds or the Magnificent Tim Burton: Part five
Corpse Bride,3/10,11 December 2022,What did I just watch
The Jungle Book,7/10,27 December 2023,"Kipling's jungle book done right,"
The Jungle Book,7/10,17 December 2023,Great!!
The Jungle Book,7/10,9 December 2023,The Jungle Book
The Jungle Book,4/10,28 November 2023,Stick with the original
The Jungle Book,9/10,19 November 2023,Immersive & impressive experience in VR
The Jungle Book,mg-231645,3 October 2023,The Best Live-Action Jungle Book!
The Jungle Book,10/10,1 October 2023,Excellent Movie For The Entire Family N A Classic!
The Jungle Book,6/10,19 September 2023,not bad
The Jungle Book,7/10,29 August 2023,One of the few live action remakes that work
The Jungle Book,7/10,29 July 2023,Visually stunning and captivating live-action
The Little Mermaid,7/10,3 January 2024,Solid disney film
The Little Mermaid,7/10,11 December 2023,Disney returns to what it did best.
The Little Mermaid,10/10,28 October 2023,Love in the Ocean
The Little Mermaid,8/10,22 October 2023,It Triumphs Over Live-Action Rival with Timeless Charm and Character Flexibility.
The Little Mermaid,9/10,27 September 2023,The Classic Mermaid
The Little Mermaid,5/10,25 September 2023,OG Mermaid
The Little Mermaid,10/10,23 August 2023,The Disney princess film that hit many audience's.
The Little Mermaid,7/10,13 August 2023,A beginning of the Disney renaissance era...
The Little Mermaid,10/10,6 August 2023,Perfection!
The Little Mermaid,8/10,26 July 2023,A classic...
Shutter Island,8/10,28 December 2023,Wow!
Shutter Island,9/10,26 December 2023,BRILLIANT!
Shutter Island,10/10,25 December 2023,Mind-bending thriller defying expectations
Shutter Island,10/10,17 December 2023,A true thriller.
Shutter Island,8/10,12 December 2023,One of Scorsese's best
Shutter Island,9/10,11 December 2023,I love it!
Shutter Island,9/10,1 December 2023,leo was here
Shutter Island,7/10,30 November 2023,is monitored
Shutter Island,9/10,10 November 2023,A dark original work of mystery and intrigue with DiCaprio
Shutter Island,10/10,4 November 2023,"Gripping, edge of seat viewing."
The Prestige,7/10,30 December 2023,The ending falls flat
The Prestige,6/10,29 December 2023,"People are going to hate me, but it's bad"
The Prestige,10/10,28 December 2023,An amateur review
The Prestige,4/10,27 December 2023,A trick too far.....
The Prestige,10/10,23 December 2023,This surely has to be Christopher Nolan's magnum opus.
The Prestige,9/10,22 December 2023,Like a mgic trick
The Prestige,7/10,19 December 2023,If you can keep up its a must watch
The Prestige,9/10,14 December 2023,Are You Watching Closely?
The Prestige,9/10,27 November 2023,Immersive
The Prestige,9/10,24 November 2023,a very successful movie
Memento,3/10,29 December 2023,Overrated and pretentious
Memento,9/10,27 December 2023,I love it!
Memento,10/10,14 December 2023,"Mama Mia, What Was That!"
Memento,2/10,8 December 2023,Can't believe I wasted 40 minutes on this
Memento,3/10,8 December 2023,Annoying and pretentious
Memento,10/10,7 December 2023,Is this a new genre?
Memento,4/10,24 November 2023,Mediocre mystery
Memento,10/10,20 November 2023,a masterpiece
Memento,8/10,22 October 2023,Effort is in this case it's own reward!
Memento,3/10,15 October 2023,overrated hooey
Gone Girl,9/10,1 January 2024,A Study in Narcissistic Personality Disorder
Gone Girl,1/10,31 December 2023,So much potential...
Gone Girl,9/10,17 December 2023,I love it!
Gone Girl,8/10,5 December 2023,Woman playing the system
Gone Girl,9/10,21 November 2023,2.5 hours in the chair
Gone Girl,9/10,19 November 2023,"Dark, Grim and Gripping - Worth a watch"
Gone Girl,9/10,17 November 2023,Exciting
Gone Girl,alexandru-bodgan,13 November 2023,a story with a lot of flaws and errors...
Gone Girl,9/10,8 November 2023,A movie that will keep you thinking..
Gone Girl,10/10,7 November 2023,masterpiece
The Sixth Sense,10/10,27 December 2023,After 24yrs still phenomenal!!!
The Sixth Sense,7/10,14 December 2023,a picture for years
The Sixth Sense,10/10,12 December 2023,The Twist
The Sixth Sense,8/10,19 November 2023,The Sixth Sense (1999)
The Sixth Sense,8/10,16 November 2023,Pretty good!
The Sixth Sense,3/10,8 November 2023,so so so stupid
The Sixth Sense,9/10,8 November 2023,M. Night Shyalaman's standout movie.
The Sixth Sense,10/10,30 October 2023,My Take on a Cinematic Masterpiece
The Sixth Sense,9/10,26 October 2023,it's weird to look back a time when people didn't reluctantly watch M. Night movies
The Sixth Sense,8/10,23 October 2023,A Timeless Masterpiece with a Twist That Still Shocks in 2023
Donnie Darko,7/10,21 December 2023,Donnie Darko
Donnie Darko,9/10,12 December 2023,"Donnie Darko, one of the best movies ever"
Donnie Darko,10/10,9 December 2023,Science Fiction and Social Commentary
Donnie Darko,10/10,7 December 2023,I loved this film!
Donnie Darko,5/10,21 November 2023,"Sorry, what was that?"
Donnie Darko,10/10,20 November 2023,Easily one of the best films ever made
Donnie Darko,10/10,15 November 2023,It was a beautiful movie.. BEAUTIFUL
